u,g,r,i,z,class,redshift,redshift_err
19.20928,17.63995,16.81234,16.4094,16.12009,GALAXY,0.08948262,1.233479e-05
19.46959,19.2546,19.01918,18.78451,18.80226,QSO,1.512237,0.0003015994
19.48045,17.91541,17.08926,16.62779,16.24467,GALAXY,0.07713702,1.030822e-05
19.58787,18.00633,17.38664,17.08071,16.86875,GALAXY,0.06871965,2.3062e-05
18.61747,17.6838,17.27267,17.09106,16.89417,GALAXY,0.02538639,5.919524e-06
19.31397,17.36698,16.31128,15.87964,15.4688,GALAXY,0.1261562,1.983658e-05
19.21731,18.11664,17.64723,17.34108,17.1951,GALAXY,0.0882504,7.327685e-06
18.30368,17.26131,16.89051,16.60345,16.466,GALAXY,0.07110524,5.276659e-06
18.86939,16.88241,15.819,15.28006,14.84171,GALAXY,0.1015711,1.819819e-05
19.50116,18.45714,17.71207,17.3206,17.08142,GALAXY,0.1742985,1.241668e-05
17.6745,17.64639,17.55069,17.39896,17.38966,QSO,0.2447907,2.057522e-05
18.54888,16.58296,15.61863,15.13974,14.75808,GALAXY,0.08793359,1.693087e-05
19.47192,17.51609,16.53036,16.10835,15.76104,GALAXY,0.10167,1.863632e-05
17.98895,17.72036,17.426,17.42489,17.39828,QSO,1.096945,9.371921e-05
19.43545,17.93626,17.13148,16.72516,16.40298,GALAXY,0.08919691,1.751251e-05
19.02651,17.97673,17.70823,17.47398,17.37445,GALAXY,0.07688676,6.616156e-06
19.29351,17.85368,17.24276,16.90823,16.66283,GALAXY,0.04792073,7.338875e-06
19.39216,18.24719,17.68488,17.33047,17.19916,GALAXY,0.08958714,1.293039e-05
18.11658,17.85801,18.03603,17.95682,17.99479,QSO,0.5535177,7.958664e-05
19.31662,18.26064,17.74602,17.44565,17.29693,GALAXY,0.1016802,6.876616e-06
19.05804,18.72434,18.62441,18.50207,18.44011,QSO,0.7371067,0.0002320027
18.95048,17.37271,16.57718,16.15807,15.85813,GALAXY,0.09202364,2.930447e-05
18.40331,17.26724,16.81593,16.54532,16.30759,GALAXY,0.03057908,6.292273e-06
19.24538,18.71721,18.32339,18.24627,18.08278,QSO,0.9109799,0.0001437659
19.15409,18.34145,17.437,16.96372,16.64597,GALAXY,0.1862603,3.329114e-05
19.55932,17.85579,16.86779,16.40443,16.05884,GALAXY,0.1472403,2.485552e-05
19.34683,18.27378,17.75291,17.3727,17.22127,GALAXY,0.1258695,6.255204e-06
19.14816,18.88888,18.64158,18.47844,18.4424,QSO,1.430848,0.0002999168
19.37156,19.27102,19.04718,19.01758,19.04919,QSO,1.353717,0.0003676915
18.03477,17.08654,16.76294,16.56732,16.42024,GALAXY,0.03234868,5.786836e-06
19.50972,18.36381,17.8925,17.5799,17.44651,GALAXY,0.1074706,9.796612e-06
18.94779,17.67344,16.75461,16.29577,15.95049,GALAXY,0.1243006,1.321796e-05
19.13458,18.00001,17.46497,17.1222,16.89607,GALAXY,0.1040946,6.328491e-06
18.53089,18.09031,17.99506,18.02544,17.85729,QSO,2.423273,0.0003602751
16.93926,16.79523,16.68399,16.51521,16.5112,QSO,1.512352,0.0002520392
19.41232,19.41719,19.11925,18.71328,18.54144,QSO,1.983188,0.000549067
19.02954,18.39322,18.20065,18.19465,17.98387,QSO,2.337607,0.000195239
15.4537,14.29319,13.86782,13.63288,13.12738,GALAXY,0.02975641,9.974425e-06
17.72583,15.91605,14.94536,14.43348,13.95695,GALAXY,0.02982142,1.591084e-05
18.83337,17.52152,16.85736,16.48317,16.19493,GALAXY,0.06917019,1.269716e-05
18.63802,17.31392,16.61053,16.23437,15.9575,GALAXY,0.06961987,1.530017e-05
18.53592,17.34508,16.73377,16.36091,16.13913,GALAXY,0.1060308,1.109877e-05
18.62635,16.82193,15.97119,15.57207,15.23805,GALAXY,0.06995656,1.868745e-05
19.36547,17.48628,16.41735,15.99219,15.60992,GALAXY,0.143321,1.918422e-05
19.18791,17.40543,16.63572,16.29395,15.99135,GALAXY,0.1051231,1.716161e-05
19.0875,17.45376,16.71953,16.3354,16.04523,GALAXY,0.07898407,1.573925e-05
19.59072,18.37631,17.34891,16.84531,16.51693,GALAXY,0.1967419,3.304842e-05
16.05487,14.77693,14.1849,13.87484,13.63232,GALAXY,0.02957562,1.202938e-05
18.41252,18.27509,18.08103,17.98959,17.98275,QSO,1.388866,0.0003004387
19.18204,17.82977,16.94368,16.51452,16.21551,GALAXY,0.162987,2.510946e-05
17.97624,16.91911,16.49592,16.23548,16.07204,GALAXY,0.02556891,8.077038e-06
19.25729,19.12808,18.83389,18.70399,18.61511,QSO,1.222245,0.000970788
18.89456,17.28899,16.59483,16.2783,16.00699,GALAXY,0.04756837,1.583854e-05
19.43543,18.21516,17.63759,17.2469,17.04163,GALAXY,0.07902597,7.984891e-06
17.60775,16.14782,15.41296,15.01297,14.64746,GALAXY,0.0328287,6.626049e-06
18.80461,18.20425,18.02746,17.87077,17.79389,GALAXY,0.03239046,4.555037e-06
18.14614,17.09301,16.68175,16.44398,16.20429,GALAXY,0.02490769,6.205506e-06
19.4553,18.27777,17.81222,17.46869,17.25567,GALAXY,0.07909509,8.426449e-06
18.56489,17.28337,16.65403,16.27755,15.98773,GALAXY,0.06999499,9.011278e-06
18.93137,17.93331,17.5933,17.39079,17.28925,GALAXY,0.03248152,8.772594e-06
18.14285,16.60561,15.75299,15.31842,14.97883,GALAXY,0.1052832,1.264152e-05
16.39691,15.0645,14.46049,14.1484,13.96112,GALAXY,0.02454863,1.47984e-05
19.30768,17.50772,16.5638,16.12247,15.74522,GALAXY,0.1130107,3.028089e-05
19.12161,17.2298,16.21559,15.79271,15.4229,GALAXY,0.1113649,2.120844e-05
18.89224,17.72111,17.0411,16.69531,16.48406,GALAXY,0.1052569,4.715471e-05
19.05525,17.07544,16.13153,15.69524,15.34372,GALAXY,0.07972385,1.554603e-05
19.42911,19.05789,19.01153,18.94273,18.81345,QSO,2.211993,0.0002373178
17.68507,15.8723,15.03879,14.64731,14.33595,GALAXY,0.05311634,1.109621e-05
19.47569,19.01814,18.95258,19.06635,18.83752,QSO,0.7692741,9.830127e-05
19.49749,18.01691,17.45764,17.10353,16.94522,GALAXY,0.07665356,1.045386e-05
18.5238,17.52849,17.17023,16.74323,16.71346,GALAXY,0.09566075,6.552972e-06
19.14905,18.07992,17.70406,17.45813,17.35761,GALAXY,0.05204193,9.019261e-06
18.9978,17.96598,17.66925,17.40718,17.33742,GALAXY,0.07101605,5.532653e-06
19.28804,18.16719,17.85579,17.60978,17.40311,GALAXY,0.05446,7.345141e-06
18.1783,16.19937,15.22702,14.78768,14.41241,GALAXY,0.08298903,1.807268e-05
19.23587,17.91891,17.27048,16.90339,16.62113,GALAXY,0.09675542,1.262627e-05
18.36716,16.15226,15.06507,14.51372,14.05285,GALAXY,0.02725771,1.432335e-05
19.53237,17.64661,16.59679,16.07399,15.67989,GALAXY,0.05667758,1.796223e-05
17.92471,16.89563,16.34107,16.06352,15.82847,GALAXY,0.0244775,4.412939e-06
19.35062,17.90006,17.33493,16.98621,16.73307,GALAXY,0.08144762,1.30956e-05
18.87871,17.66926,17.05803,16.73153,16.41729,GALAXY,0.0277606,4.911111e-06
19.51914,18.35248,17.83754,17.54294,17.34665,GALAXY,0.05574461,1.42204e-05
19.36918,18.02738,17.53441,17.23723,17.04132,GALAXY,0.05533386,5.40396e-06
17.91883,16.78357,16.36801,16.02861,15.8854,GALAXY,0.05555231,6.571008e-06
18.46837,17.05451,16.43692,16.05719,15.81721,GALAXY,0.05591223,8.902135e-06
18.42238,18.22688,18.16234,18.02632,17.98409,QSO,1.92721,0.0003920758
19.49664,18.28441,17.72901,17.33362,17.14402,GALAXY,0.05762954,7.756537e-06
18.75865,17.75045,17.3277,17.0813,16.96067,GALAXY,0.02796681,3.621608e-06
17.87721,16.59167,15.95641,15.56669,15.33162,GALAXY,0.05804155,9.265631e-06
18.25661,17.47846,17.03543,16.51574,16.53835,GALAXY,0.1067022,4.322444e-06
18.02971,16.8872,16.42735,16.15031,15.96064,GALAXY,0.0286315,6.309466e-06
18.91756,17.30178,16.46264,15.98732,15.63404,GALAXY,0.02809832,1.384271e-05
19.38903,18.33714,17.6864,17.27947,17.02616,GALAXY,0.1327327,6.144829e-06
19.39457,18.11488,17.46252,17.07111,16.83985,GALAXY,0.05537476,6.243855e-06
18.86985,17.91304,17.55133,17.18573,17.09064,GALAXY,0.05902028,5.924683e-06
18.83757,17.12259,16.36792,15.90656,15.59752,GALAXY,0.05877787,7.546178e-06
18.85786,16.96216,16.00313,15.49234,15.12086,GALAXY,0.05765377,1.710475e-05
19.56508,18.07842,17.59711,17.30647,17.1456,GALAXY,0.05813755,8.304068e-06
18.20337,16.35203,15.42559,14.97615,14.64996,GALAXY,0.05805147,1.12493e-05
16.85358,15.63081,15.09907,14.80041,14.57816,GALAXY,0.03223962,9.880965e-06
19.52551,18.07914,17.3061,16.86974,16.54156,GALAXY,0.1330015,1.698382e-05
18.91944,17.80179,17.39375,17.17265,17.08438,GALAXY,0.02452652,5.443688e-06
19.28122,17.97229,17.63551,17.44405,17.41145,GALAXY,0.02442459,9.539374e-06
19.22342,19.01674,18.70262,18.65875,18.62971,QSO,1.227615,0.0003268497
17.97382,16.7313,16.19508,15.91699,15.71101,GALAXY,0.04765368,8.135084e-06
19.46411,19.24191,19.19376,19.01704,19.03733,QSO,1.65905,0.0004460479
19.31854,18.03506,17.42109,17.00215,16.74664,GALAXY,0.09111653,5.612905e-06
19.24194,17.4374,16.49413,15.95312,15.56135,GALAXY,0.07435275,2.427244e-05
19.11371,17.37997,16.71033,16.23288,16.00918,GALAXY,0.1143793,9.681698e-06
19.4189,19.26654,18.84102,18.86815,18.98317,QSO,1.131862,0.0005482915
17.64879,16.49474,15.87173,15.4981,15.2808,GALAXY,0.08193589,8.544223e-06
19.07644,17.19797,16.30089,15.8828,15.56139,GALAXY,0.07057208,1.29187e-05
19.34089,17.41159,16.39621,15.92878,15.54577,GALAXY,0.0996795,2.170211e-05
19.26156,18.13403,17.31124,16.86835,16.58677,GALAXY,0.1780877,1.593834e-05
18.71876,18.2819,18.26961,18.2414,18.19143,QSO,0.6705019,9.182478e-05
19.50271,18.76049,18.65779,18.51935,18.24256,QSO,2.351637,0.0003700142
18.35799,16.40675,15.52149,15.10122,14.76636,GALAXY,0.07594268,1.216104e-05
19.34145,17.35735,16.3837,15.94484,15.58079,GALAXY,0.07562031,1.649451e-05
18.67024,17.3274,16.66518,16.27936,16.0012,GALAXY,0.0795421,1.140596e-05
18.48495,17.38919,17.0689,16.88264,16.72604,GALAXY,0.02136928,5.758712e-06
18.79201,17.71587,17.31064,17.09239,16.98464,GALAXY,0.03146952,7.054336e-06
19.24695,18.14896,17.49914,17.11604,16.88354,GALAXY,0.157098,8.687185e-06
19.39275,17.921,17.06458,16.63083,16.33663,GALAXY,0.1586266,2.349272e-05
18.06068,17.04281,16.69544,16.39104,16.25756,GALAXY,0.07009142,6.375157e-06
19.24533,18.13623,17.77322,17.5135,17.37947,GALAXY,0.07794146,1.169683e-05
16.20415,14.48584,13.77155,13.41108,13.17842,GALAXY,0.01902536,1.287611e-05
17.78422,16.50031,15.87221,15.49801,15.28736,GALAXY,0.06989451,1.213397e-05
19.42303,17.9242,17.15133,16.72932,16.40958,GALAXY,0.1201394,1.949053e-05
18.24933,17.00582,16.33551,15.91403,15.63367,GALAXY,0.08496574,1.700499e-05
19.53371,18.75589,18.2605,17.93995,17.8565,GALAXY,0.1572003,5.526448e-06
19.35455,17.83797,17.03366,16.61604,16.34077,GALAXY,0.1188491,1.847485e-05
19.33946,17.54367,16.46906,16.02215,15.67555,GALAXY,0.1326728,2.674283e-05
19.27254,18.06012,17.47485,17.14241,16.91897,GALAXY,0.1086603,8.764994e-06
18.18849,17.00276,16.55171,16.30584,16.21456,GALAXY,0.04931947,1.399824e-05
18.91379,17.85946,17.43954,17.11021,16.91123,GALAXY,0.06181338,5.457508e-06
19.03165,17.2688,16.4058,16.00439,15.67268,GALAXY,0.06637767,1.628184e-05
19.1993,18.27246,17.78881,17.51302,17.33675,GALAXY,0.1460524,6.632678e-06
17.60976,17.43707,17.28362,17.31243,17.27664,QSO,0.9198498,0.0001818907
19.15625,18.08972,17.7972,17.57063,17.48377,GALAXY,0.0486598,6.926732e-06
17.84915,16.64703,16.10961,15.80125,15.58915,GALAXY,0.04202126,9.969947e-06
18.36531,17.11435,16.50102,16.1332,15.88523,GALAXY,0.07237981,8.463887e-06
19.21375,17.61476,16.78795,16.30011,15.92994,GALAXY,0.07218131,1.223678e-05
19.2942,19.46759,18.99985,19.03216,19.14045,QSO,1.290582,0.0002752695
19.36372,18.32858,17.76066,17.3986,17.20642,GALAXY,0.1503709,7.148048e-06
19.14128,17.77446,16.97824,16.54589,16.24173,GALAXY,0.1144965,8.273139e-06
18.7363,17.24314,16.53551,16.12133,15.79994,GALAXY,0.0803081,7.678161e-06
18.16946,16.7555,16.07469,15.70018,15.44349,GALAXY,0.07249907,1.96714e-05
18.79004,17.03438,16.41441,16.09188,15.91404,GALAXY,0.1146823,2.438967e-05
18.48582,17.47009,17.15168,16.96801,16.89747,GALAXY,0.03258956,8.116315e-06
19.10975,18.05081,17.66049,17.47176,17.25882,GALAXY,0.04270654,1.958661e-05
18.93713,17.91322,17.55963,17.36401,17.20185,GALAXY,0.0320312,6.009033e-06
18.60415,16.66522,15.73765,15.3303,14.97645,GALAXY,0.08042388,1.625125e-05
19.40952,18.0377,17.2326,16.82528,16.52934,GALAXY,0.1598769,1.97828e-05
19.49952,17.9922,17.20122,16.77302,16.4563,GALAXY,0.1148159,2.44194e-05
19.00497,18.83137,18.55205,18.62111,18.52743,QSO,1.016767,0.0003395951
18.55046,17.50105,17.01066,16.70494,16.5112,GALAXY,0.07150065,7.76017e-06
19.38898,17.97082,17.23584,16.87221,16.57838,GALAXY,0.09209978,1.300322e-05
19.54857,17.77632,16.8664,16.43002,16.08947,GALAXY,0.08057746,2.223876e-05
19.05137,18.01086,17.68808,17.44423,17.38686,GALAXY,0.08321483,6.277883e-06
19.16367,17.25481,16.35124,15.96928,15.64421,GALAXY,0.07196455,2.00598e-05
19.14378,17.78933,17.31539,17.16447,17.14356,GALAXY,0.6692739,0.0002326488
19.41487,18.08963,17.43689,17.04197,16.77868,GALAXY,0.09138028,9.575513e-06
19.54626,17.49681,16.51568,16.06805,15.72601,GALAXY,0.09154467,2.184832e-05
19.47732,18.79965,18.70529,18.61144,18.55849,QSO,2.791188,0.000310637
18.91755,18.72434,18.62667,18.49412,18.50909,QSO,1.476106,0.0003707325
17.34686,16.14952,15.54111,15.15142,14.90117,GALAXY,0.08081593,7.962302e-06
19.51247,17.37997,16.26953,15.82261,15.44468,GALAXY,0.1353512,2.361869e-05
19.52253,19.1964,19.10571,18.96662,18.68589,QSO,2.162183,0.0001404671
19.13066,16.96537,15.83757,15.37381,14.99868,GALAXY,0.1353116,2.170505e-05
19.33115,18.04402,17.49879,17.20448,17.00467,GALAXY,0.04829505,1.534632e-05
18.56572,18.24196,18.18905,18.34005,18.22104,QSO,0.8194972,0.0001707633
19.42049,19.2464,18.90455,19.0018,18.84396,QSO,1.055812,0.0002011395
18.45327,16.64535,15.75609,15.3017,14.96077,GALAXY,0.07157665,1.486904e-05
19.27777,19.22631,19.02135,18.9594,18.9914,QSO,1.361167,0.0003205867
19.23724,17.32182,16.33003,15.90236,15.5473,GALAXY,0.09414652,2.204812e-05
19.25348,18.83999,19.0125,18.76279,18.62778,QSO,0.5266581,0.0002587187
19.33329,18.15986,17.60607,17.28422,17.05248,GALAXY,0.0874192,1.02737e-05
18.13472,16.94623,16.47528,16.17266,15.95659,GALAXY,0.0575485,1.026176e-05
19.21338,18.12254,17.70387,17.39674,17.24318,GALAXY,0.07079878,5.64223e-06
19.49917,19.31428,19.17209,18.86547,18.91752,QSO,1.791887,0.001271955
19.25964,17.29641,16.32573,15.89694,15.52346,GALAXY,0.09659571,1.931612e-05
19.55743,18.30496,17.63067,17.25498,17.011,GALAXY,0.1210314,1.797452e-05
19.32233,17.6064,16.83596,16.35945,16.04258,GALAXY,0.08306821,8.068519e-06
18.55948,17.31544,16.71859,16.32946,16.09309,GALAXY,0.08371136,6.015205e-06
19.37655,19.09841,18.98511,18.71276,18.73387,QSO,1.614186,0.0003798576
19.55025,19.23416,19.12857,18.88795,18.92883,QSO,1.520577,-1.0
19.346,17.24572,16.2121,15.77169,15.40704,GALAXY,0.0972218,2.146902e-05
19.18425,18.51466,18.13073,18.13962,18.02939,QSO,2.422869,0.0002820739
18.51099,16.5434,15.63836,15.20576,14.85911,GALAXY,0.04208763,1.305551e-05
19.19569,17.3445,16.47097,16.06784,15.7399,GALAXY,0.04087759,1.533359e-05
19.15859,17.34954,16.4969,16.10579,15.79345,GALAXY,0.04256609,1.623774e-05
18.52141,17.56177,17.26736,17.10192,17.00217,GALAXY,0.03575706,4.943652e-06
19.35287,17.4368,16.4474,15.98766,15.62644,GALAXY,0.09657628,2.676342e-05
19.33871,17.62348,16.86724,16.48278,16.18582,GALAXY,0.03600679,1.721918e-05
18.13967,16.27623,15.40219,14.96758,14.62897,GALAXY,0.03552287,1.343561e-05
18.43803,17.08073,16.50616,16.17469,15.96114,GALAXY,0.04064452,2.730834e-05
19.26589,18.15041,17.8896,17.74546,17.71285,GALAXY,0.02251297,9.473723e-06
16.87993,16.60884,16.604,16.73685,16.66611,GALAXY,0.005289246,5.276882e-06
17.37293,16.67231,16.44412,16.50912,16.48517,GALAXY,0.005270182,5.395576e-06
18.99492,17.79404,17.16438,16.80595,16.59802,GALAXY,0.0969395,2.018765e-05
17.60564,15.6884,14.79852,14.34542,14.01396,GALAXY,0.04017343,1.10309e-05
19.15754,17.41416,16.56482,16.18512,15.89214,GALAXY,0.04040727,1.72134e-05
18.96363,18.67637,18.47234,18.41949,17.96547,QSO,0.3698131,3.673339e-05
17.70096,15.78726,14.89818,14.48576,14.14392,GALAXY,0.03511012,1.002765e-05
19.33928,17.86101,17.04922,16.61506,16.28878,GALAXY,0.09219278,9.061308e-06
18.82345,17.2439,16.36413,15.88445,15.51134,GALAXY,0.07223801,1.377665e-05
19.26516,17.99321,17.47414,17.14265,16.93251,GALAXY,0.06389839,7.801792e-06
18.89091,17.70877,17.08739,16.63596,16.4144,GALAXY,0.078319,7.454052e-06
19.11118,17.97169,17.52744,17.27083,17.17729,GALAXY,0.0352582,8.879019e-06
19.42328,17.38028,16.37687,15.93596,15.58416,GALAXY,0.09004497,2.822481e-05
19.20103,17.75733,16.96925,16.56822,16.26453,GALAXY,0.09493727,1.200174e-05
18.73026,17.37945,16.62684,16.22299,15.92939,GALAXY,0.09548915,1.709143e-05
19.24236,18.18596,17.61742,17.20611,17.01726,GALAXY,0.05858022,6.597133e-06
19.5403,17.54965,16.58414,16.16101,15.81551,GALAXY,0.09463031,1.650087e-05
19.06376,17.60402,16.85892,16.4708,16.21223,GALAXY,0.0879248,1.934319e-05
18.17485,16.16745,15.19847,14.7566,14.40484,GALAXY,0.07252388,1.433751e-05
18.33101,16.86031,16.08617,15.68345,15.38158,GALAXY,0.07254209,9.74722e-06
19.44932,18.11353,17.47403,17.06372,16.78604,GALAXY,0.04933764,8.295976e-06
19.35118,17.48843,16.39488,15.94884,15.59169,GALAXY,0.1380527,2.309945e-05
19.43566,17.51004,16.51138,16.06897,15.69386,GALAXY,0.09167954,2.068483e-05
18.68642,17.16112,16.17371,15.71859,15.34876,GALAXY,0.1373313,2.477517e-05
19.16253,17.2394,16.24816,15.82092,15.46671,GALAXY,0.09259003,1.90704e-05
19.30239,17.90054,17.11262,16.66364,16.33702,GALAXY,0.1213931,9.834866e-06
18.36191,17.01026,16.28012,15.86637,15.55808,GALAXY,0.0,0.0
19.0045,18.01168,17.53749,17.18568,17.02963,GALAXY,0.09100856,7.454541e-06
19.29148,17.93668,17.16398,16.72054,16.40235,GALAXY,0.1028107,1.049541e-05
18.76488,16.75557,15.72566,15.272,14.89623,GALAXY,0.1041638,1.656124e-05
19.3526,17.89669,17.02844,16.60128,16.26256,GALAXY,0.1068865,1.422261e-05
19.24527,17.18633,16.1152,15.64112,15.2549,GALAXY,0.1146904,1.909466e-05
18.65735,17.32178,16.74006,16.43202,16.21406,GALAXY,0.05745656,1.86616e-05
18.71893,17.55303,16.98645,16.6849,16.47237,GALAXY,0.05280551,9.860599e-06
19.18742,18.01312,17.59209,17.38556,17.27655,GALAXY,0.006947624,4.750477e-05
19.3547,17.77061,16.88711,16.38547,16.05736,GALAXY,0.09146865,7.503832e-06
17.20734,15.75512,14.98388,14.60878,14.2761,GALAXY,0.02867431,7.934513e-06
17.85654,15.90843,15.01138,14.57068,14.23089,GALAXY,0.05258041,1.160913e-05
19.4395,18.34606,17.89598,17.57289,17.43036,GALAXY,0.07618898,6.788652e-06
18.95091,17.01286,15.99833,15.54242,15.18672,GALAXY,0.09749297,2.310433e-05
17.46221,17.06691,16.87794,16.86131,16.725,QSO,0.8034984,6.577913e-05
19.35979,17.7796,16.90792,16.4722,16.12705,GALAXY,0.1146796,1.462439e-05
19.54186,18.26003,17.42892,16.98113,16.68697,GALAXY,0.1273269,8.841335e-06
19.23488,17.33521,16.38146,15.89437,15.49413,GALAXY,0.07723882,1.843854e-05
17.96254,16.16429,15.39294,14.90381,14.54489,GALAXY,0.05069121,4.323113e-06
17.80566,16.59223,16.06062,15.75611,15.58005,GALAXY,0.05060415,9.56252e-06
19.25225,17.71097,16.80569,16.33258,15.93953,GALAXY,0.1159241,1.704928e-05
19.45076,17.61312,16.61744,16.12243,15.73968,GALAXY,0.07581986,2.13172e-05
19.26014,18.27402,17.88486,17.56656,17.46192,GALAXY,0.0849696,6.918151e-06
18.77701,18.58197,18.51498,18.27264,18.24195,QSO,1.851836,0.0001526855
19.39115,18.23681,17.66522,17.30622,17.15552,GALAXY,0.1150499,2.387569e-05
19.17461,17.05566,16.04446,15.59306,15.20858,GALAXY,0.09404372,1.534816e-05
19.57235,18.18137,17.38634,16.93528,16.62593,GALAXY,0.09348191,1.69009e-05
18.8985,17.35386,16.59441,16.20499,15.91412,GALAXY,0.05948211,1.112978e-05
19.03673,17.40306,16.48184,16.06462,15.74351,GALAXY,0.08029238,2.067931e-05
18.9664,17.88164,17.28113,16.89205,16.66426,GALAXY,0.08800626,7.782522e-06
19.14365,18.0396,17.46614,17.11486,16.84668,GALAXY,0.09384681,8.958012e-06
18.60367,16.70164,15.76999,15.31554,14.95008,GALAXY,0.07216512,1.494585e-05
18.71739,16.8447,15.91783,15.48379,15.14037,GALAXY,0.07226273,1.42438e-05
18.87132,17.0152,16.03411,15.60002,15.24057,GALAXY,0.08682497,1.489258e-05
19.40572,18.20468,17.57117,17.20986,17.01209,GALAXY,0.08063264,9.871242e-06
16.51096,14.53083,13.5704,13.11638,12.81764,GALAXY,0.03656447,1.008507e-05
19.12278,17.94234,17.28613,16.89516,16.69047,GALAXY,0.1421489,9.10263e-06
18.12934,16.14146,15.23039,14.78253,14.43131,GALAXY,0.03696278,1.128781e-05
19.35087,18.14243,17.61327,17.2913,17.12773,GALAXY,0.09456378,9.06178e-06
18.86234,17.19269,16.34147,15.86481,15.4981,GALAXY,0.03913505,1.527214e-05
19.00815,17.93777,17.44642,17.11042,16.95849,GALAXY,0.08120342,8.950472e-06
19.49983,17.96017,17.26505,16.83799,16.59548,GALAXY,0.1124019,7.922228e-06
19.14117,17.27155,16.31453,15.87336,15.5152,GALAXY,0.08650188,1.92052e-05
19.09081,16.78462,15.74021,15.20531,14.94568,GALAXY,0.09436671,4.336121e-05
19.09858,17.97219,17.30184,16.94398,16.66336,GALAXY,0.111321,8.418354e-06
18.9217,17.83718,17.31191,16.93746,16.74082,GALAXY,0.112251,6.06011e-06
19.58449,18.24557,17.45923,17.02779,16.70487,GALAXY,0.1386025,1.730478e-05
18.14572,16.89562,16.33768,16.01118,15.80122,GALAXY,0.04946987,2.11301e-05
18.46074,16.76861,16.00134,15.59312,15.28116,GALAXY,0.05157417,1.359464e-05
19.24112,18.1712,17.7722,17.44882,17.33758,GALAXY,0.08584246,6.321603e-06
18.9181,18.59233,18.14826,17.98924,17.55648,QSO,0.2649675,3.318406e-05
19.41497,19.23612,18.98149,18.7808,18.83568,QSO,1.475817,0.0005837068
18.97383,17.79458,17.09617,16.67336,16.45434,GALAXY,0.1412614,8.04184e-06
18.74104,16.66122,15.54734,15.06243,14.66732,GALAXY,0.1111735,2.03636e-05
19.44975,19.13386,19.0564,18.96998,18.95119,QSO,0.6846147,0.0001373326
19.31298,17.99732,17.26361,16.85847,16.53557,GALAXY,0.09336282,9.718079e-06
19.39626,18.26639,17.53201,17.1662,16.92536,GALAXY,0.1651455,1.069757e-05
19.08995,17.15163,16.16932,15.70767,15.34771,GALAXY,0.07300293,1.984916e-05
19.43662,17.59132,16.57449,16.06407,15.6697,GALAXY,0.07204402,2.410398e-05
