,objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
941,1237667429546526080,117.88927,10.967014,24.92214,21.62281,20.95053,20.8577,20.70663,0.000235899,3.678246,0.6429405,0.09057999,0.1565399,STAR
942,1237653612644926112,132.1896,48.606683,23.61298,22.16084,21.36139,21.17273,20.89408,-0.001121208,1.936804,0.8330688,0.164711,0.29142,STAR
943,1237655499210096910,223.79234,-1.7290164,19.75323,18.5171,18.69481,18.81495,18.84937,-0.0007860886,1.242838,-0.1497517,-0.1235676,-0.04170227,STAR
944,1237678619566866964,3.52441210000001,3.0508691,23.73073,23.9397,22.58374,21.40226,20.51659,0.5172585,2.941244,1.222609,1.01811,0.6752129,GALAXY
945,1237678598629032150,3.81674099999998,3.6412468,20.99635,20.78617,20.69596,20.82101,20.85396,0.2304108,0.2629032,0.08756256,-0.1309528,-0.01968956,GALAXY
946,1237678598628966919,3.71876209999999,3.582156,23.17316,22.26867,21.74374,21.54327,21.23875,1.038723,1.196703,0.5121498,0.2111778,0.264637,GALAXY
947,1237658800957686083,160.36056,51.602015,20.56772,20.36777,20.31665,19.62077,18.9267,0.0001817975,0.2222595,0.03625107,0.7087536,0.6845627,STAR
948,1237667209963962676,117.26651,10.968771,18.7481,17.89899,17.63202,17.49685,17.51945,-4.396012e-05,0.8627968,0.2652073,0.1065044,0.002502441,STAR
949,1237674650460094629,167.55432,0.21010635,21.65822,19.84145,18.55024,18.12502,17.76784,0.1850147,1.80522,1.299114,0.5003071,0.3951626,GALAXY
950,1237678598092620926,4.87617990000001,3.2277814,25.28525,24.19838,22.91127,21.67062,20.53876,0.8348724,2.718639,1.579273,1.186579,1.055399,GALAXY
951,1237678598092751640,5.18214390000003,3.1819866,25.30643,23.45338,21.77371,20.69267,19.99626,0.6086731,3.485449,1.670668,1.139812,0.632515,GALAXY
952,1237663784204894285,17.089503,0.043687705,21.33975,19.35654,18.43675,17.98037,17.46302,0.1180238,2.076195,1.012562,0.461031,0.3875675,GALAXY
953,1237658192688054426,132.68186,36.697759,19.31015,16.85901,15.8623,15.5235,15.58582,2.86676e-05,2.434271,1.009084,0.3339977,-0.01255512,STAR
954,1237648721762254908,167.7989,0.34150648,21.78681,20.50523,20.13325,19.94349,19.75705,0.03957444,1.345465,0.4409599,0.1728001,-0.07712364,GALAXY
955,1237667292105736960,117.56089,10.440588,23.79031,22.45928,21.19911,20.2983,19.98656,0.000227267,1.688128,1.353733,0.9734535,0.4634819,STAR
956,1237663784742027410,17.722013,0.54294771,22.10649,20.74551,19.73945,19.23716,18.7541,0.1878287,1.310028,0.876297,0.440052,0.2812653,GALAXY
957,1237678663033488205,357.4569,5.851241,23.87024,24.32318,22.08658,21.05127,20.17792,0.7703296,-0.8444233,3.029974,1.005133,0.8993149,GALAXY
958,1237669680113648305,358.81018,6.9200181,23.82185,23.2673,22.10861,21.09639,20.43629,0.5885425,0.8308468,1.419756,1.051729,0.6307697,GALAXY
959,1237658304354189420,165.83667,59.361548,18.29717,17.27172,16.90731,16.78224,16.73999,-0.0003678437,1.056545,0.3510628,0.1140862,0.04444504,STAR
960,1237658204494561360,133.91863,36.566155,23.96133,21.91182,20.21977,19.49611,19.09301,-7.780539e-05,2.062042,1.698139,0.7344017,0.4034615,STAR
