objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237664853107081714,214.77084,33.586988,25.06635,23.00179,21.26128,20.28435,19.87945,0.5100694,3.333364,1.780735,0.9420166,0.4670696,GALAXY
1237662661596152523,214.8424,35.043102,24.09567,22.61113,20.90813,20.05616,19.3966,0.5056316,2.894461,1.701107,0.8529129,0.5704861,GALAXY
1237662223541207563,214.81843,34.876814,24.62783,22.78061,21.81707,20.90857,20.40448,0.5260655,2.263025,1.18401,0.7527122,0.2974911,GALAXY
1237662661596217517,214.931,35.016394,22.58364,20.66867,19.31197,18.8668,18.42143,0.1918158,2.105654,1.278028,0.4562206,0.3612595,GALAXY
1237662685755867769,214.88531,34.569087,22.96694,22.61125,20.93568,20.09296,19.72327,0.483706,0.6667938,1.711596,0.7669296,0.4551392,GALAXY
1237662685755867813,214.88857,34.523795,24.31637,24.49489,22.57312,21.13937,20.76717,0.5688887,0.1606102,2.239132,1.437954,0.4285851,GALAXY
1237662685755933298,215.03751,34.504836,25.16819,22.88803,21.21807,20.38428,19.88584,0.4719056,3.554049,1.547071,0.8403378,0.4933109,GALAXY
1237662685755933309,215.05743,34.537645,23.47996,22.53341,21.63822,20.50936,20.34744,0.7106566,1.353842,0.8636608,1.023649,0.4191895,GALAXY
1237664854180758023,214.91577,34.427366,23.09371,22.19761,20.50497,19.70078,19.21476,0.4754271,1.305494,1.657749,0.8629284,0.440712,GALAXY
1237664854180758335,215.00336,34.423364,24.35241,23.17738,21.33642,20.34111,19.86058,0.5498389,1.311125,1.831594,1.070305,0.4323597,GALAXY
1237664854180758508,215.00886,34.272472,23.27854,22.70378,21.83352,20.87898,20.40996,0.728875,0.6050129,0.9284134,1.001909,0.4278011,GALAXY
1237662685219062468,214.94214,34.196888,25.68243,22.62242,20.84809,20.03475,19.79449,0.4717575,4.782402,1.781723,0.7854462,0.3940773,GALAXY
1237662685219128064,215.12723,34.167699,23.253,22.57251,21.7735,20.83992,20.44333,0.6946071,0.9188538,0.833477,0.9925194,0.2842083,GALAXY
1237662684682322567,215.15955,33.700811,23.7983,22.66859,21.19021,20.26992,19.89238,0.5465178,0.7610588,1.64547,0.9534664,0.2821789,GALAXY
1237664853643952722,214.97821,34.047089,24.17262,22.70173,21.16255,20.34527,19.82697,0.4581745,2.252285,1.5926,0.8216,0.4868107,GALAXY
1237664853643952602,214.92649,34.017582,24.11281,22.74757,21.07173,20.43217,19.92796,0.4208754,0.6208973,1.72624,0.7262535,0.3584023,GALAXY
1237664853643952914,215.00498,33.992617,24.77179,22.95778,21.73058,20.91159,20.49854,0.5559732,4.087543,1.329088,0.8924503,0.3776627,GALAXY
1237664853644018256,215.15011,33.989285,24.20432,23.26019,21.58269,20.49606,19.96438,0.6082105,1.626076,1.73871,1.102594,0.4533329,GALAXY
1237664853643952812,214.96168,33.948831,23.74757,22.53101,21.02509,20.17886,19.6997,0.387958,1.124313,1.619568,0.7792282,0.4687347,GALAXY
1237664853644017826,215.10976,33.884585,24.22842,21.73039,20.08169,19.41147,19.0418,0.4215312,3.961943,1.741356,0.643919,0.3394241,GALAXY
1237664853643887670,214.8754,33.954302,24.23347,23.05395,21.53087,20.3695,20.04766,0.5560408,3.101877,1.758978,1.187611,0.3379211,GALAXY
1237664853644018249,215.09441,33.846311,24.91577,22.63648,21.05106,20.31077,19.94101,0.4176653,2.78266,1.881927,0.6499481,0.354517,GALAXY
1237664853644018339,215.12029,33.833485,25.80182,22.85394,21.40569,20.31424,20.07497,0.5380697,4.397165,1.506548,1.075247,0.3017826,GALAXY
1237662684682257045,215.00612,33.7931,24.47467,22.55855,21.02656,19.9871,19.5172,0.5899029,4.509638,1.667847,1.090879,0.5206738,GALAXY
